"","Methanobacteria","Methanococci","Methanomicrobia","Thermococci","Woesearchaeia","Nitrososphaeria","Acidobacteriia","Aminicenantia","Blastocatellia.Subgroup.4..","Holophagae","Subgroup17.","Subgroup17","Subgroup21.","Subgroup22.","Subgroup6.","Subgroup6","Thermoanaerobaculia","Acidimicrobiia","Actinobacteria","Coriobacteriia","Thermoleophilia","Chthonomonadetes","Fimbriimonadia","unculturedbacterium.","uncultured","Caldatribacteriia","Omnitrophicabacterium.OLB16.","metagenome","unculturedorganism.","unculturedsoil.bacterium.PBS.III.18.","Bacteroidia","Ignavibacteria","OC31","Rhodothermia","Caldisericia","Calditrichia","Chlamydiae","LD1PA32.","LD1PA32","Anaerolineae","Chloroflexia","Dehalococcoidia","GittGS.136.","JG30KF.CM66.","JG30KF.CM66","KD496.","KD496","Ktedonobacteria","OLB14","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Sericytochromatia","Dadabacteriia","Deinococci","Babeliae","Elusimicrobia","LineageIIa.","LineageIIb.","LineageIIc.","Campylobacteria","Chitinivibrionia","Fibrobacteria","BRHc20a.","Bacilli","Clostridia","Erysipelotrichia","Negativicutes","Fusobacteriia","BD211.terrestrial.group.","Gemmatimonadetes","MD2902B12.","Hydrogenedentia","Kiritimatiellae","Latescibacteria","unculturedAcidobacterium.sp..","unculturedBacteroidetes.bacterium.","unculturedFibrobacteres.bacterium.","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedprokaryote.","unculturedproteobacterium.","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","Lentisphaeria","Oligosphaeria","Moduliflexia","Nitrospinia","Nitrospira","Omnitrophia","OmnitrophicaWOR_2.bacterium.RIFOXYA2_FULL_38_17.","mixedculture.isolate.koll11.","uncultureddeep.sea.bacterium.","unculturedplanctomycete.","ABY1","Berkelbacteria","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","WWE3","028H05P.BN.P5.","028H05P.BN.P5","BD711.","BD711","Brocadiae","OM190","Phycisphaerae","Pla3lineage.","Pla3lineage","Pla4lineage.","Pla4lineage","Planctomycetacia","vadinHA49","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","NC10","Brachyspirae","Leptospirae","MVP15.","MVP15","Spirochaetia","V2072189E03.","Synergistia","Mollicutes","Thermotogae","Verrucomicrobiae","hydrothermalvent.metagenome.","bacteriumenrichment.culture.clone.Anammox_55."
"2014/5/5",0,0,0,0,0,0,278,0,125,52,19,8,0,0,135,284,158,0,86,0,4,0,20,0,6,0,0,28,0,0,21186,107,0,0,0,0,198,0,0,374,6,0,0,2,0,0,0,0,17,0,0,90,0,0,0,0,150,5,0,0,0,2,0,0,0,261,14,0,2,0,0,326,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,28,2,2,0,0,0,0,78,64,0,0,2,0,1654,2,4340,870,15208,0,0,327,0,0,7,0,0,0,0,676,0,0
"2014/5/7",0,0,0,0,0,0,231,0,58,9,3,5,0,0,23,52,30,0,24,0,0,0,5,0,6,0,0,7,0,0,31355,30,0,0,0,0,37,0,0,105,2,0,0,0,0,7,0,0,3,0,0,72,0,0,0,0,52,4,0,0,0,3,0,0,0,99,2,0,0,6,0,241,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,878,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,43,26,0,0,0,0,453,5,3107,248,17018,0,0,84,0,0,2,0,0,0,0,315,0,0
"2014/5/8",0,0,0,0,0,0,26,0,8,3,2,0,0,0,2,15,8,0,6,0,0,0,0,0,10,0,0,2,0,0,22551,7,0,0,0,0,3,0,0,21,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,36,4,0,0,9,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,67,0,6011,26,10995,0,0,2,0,0,26,0,0,0,0,11,0,0
"2014/5/12",7,0,9,0,0,0,77,49,1572,60,297,155,0,42,252,247,1804,473,346,10,102,13,130,82,63,0,11,12,0,0,3511,2244,0,0,0,0,16,0,0,5769,105,0,0,12,7,26,27,0,1201,20,0,0,0,0,0,0,184,44,0,0,0,0,4,0,0,29,337,12,4,0,0,221,0,23,121,66,0,148,0,0,69,22,0,0,1,0,0,0,0,1158,0,0,0,0,0,46,0,29,11,44,251,9,3,0,2,0,0,494,82,0,48,19,0,1060,0,2489,2810,9392,0,0,17,0,0,2,0,9,0,0,649,0,24
"2014/5/13",0,0,0,0,0,0,274,0,799,0,4,15,0,0,44,2,123,40,291,0,56,3,274,0,76,0,40,0,0,0,10062,1462,0,0,0,0,7,0,0,3261,54,0,0,2,0,7,17,0,59,2,0,59,0,0,3,10,3,5,12,0,0,6,0,0,0,613,52,2,3,2,0,135,0,5,0,6,0,11,0,0,3,0,0,0,0,0,0,0,0,1797,0,0,0,0,0,0,0,0,7,20,71,0,0,0,4,0,0,153,208,0,5,0,0,612,0,1370,838,23459,0,0,63,0,0,2,0,0,0,0,226,0,0
"2014/5/14",0,0,0,0,0,0,48,4,922,19,82,85,0,0,121,77,936,122,309,4,67,7,58,2,30,0,2,36,0,0,4364,661,0,0,0,0,27,0,0,4281,20,0,11,10,7,9,69,0,242,9,0,19,0,58,6,0,15,91,0,0,0,1645,2,0,0,4813,147,3,64,3,0,287,0,11,31,12,0,45,0,0,13,0,0,0,2,0,0,0,0,521,0,0,0,0,0,8,0,492,8,38,156,3,0,0,0,0,0,363,146,0,6,6,0,424,2,2090,2091,17525,0,0,11,0,0,5,0,6,0,0,761,0,0
"2014/5/15",0,0,0,0,0,0,42,2,2571,104,45,104,0,3,249,70,894,126,702,0,39,4,69,4,39,0,0,28,0,0,9645,1211,0,0,0,0,15,0,0,4517,23,0,2,10,2,8,34,0,160,7,0,0,0,10,2,0,5,65,0,0,0,2,0,0,0,358,79,0,68,2,0,330,0,18,84,5,0,30,0,0,15,0,0,0,0,0,0,0,0,573,0,0,0,0,0,33,0,14,17,114,1494,7,0,0,0,0,0,701,116,0,13,6,0,1733,0,1943,1898,11049,0,0,42,0,0,9,0,0,0,0,1277,0,0
"2014/5/16",0,0,0,0,0,0,94,0,47,215,0,3,0,0,116,8,0,14,601,0,10,0,31,0,26,0,0,28,0,0,5059,363,32,0,0,0,11,0,0,404,0,0,0,0,0,2,0,0,0,0,0,214,0,6,0,0,2,7,0,0,0,145,0,0,0,13,6,0,0,0,0,231,0,25,51,0,0,0,0,0,0,0,0,0,5,0,0,0,0,809,0,0,0,0,0,0,0,134,0,7,110,0,3,0,0,0,0,288,132,0,0,19,13,639,0,3962,6338,12329,0,0,285,0,0,55,0,0,0,0,1681,0,0
"2014/5/20",0,0,0,0,6,0,156,0,82,443,10,2,0,0,197,15,5,22,1626,0,45,0,60,0,53,0,0,77,0,0,9307,650,68,2,0,0,30,0,0,786,15,0,0,0,0,10,0,0,0,2,0,546,0,21,0,0,3,13,0,0,0,55,0,0,0,25,8,0,2,0,0,541,0,58,106,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1304,0,0,0,0,0,0,0,157,0,13,148,0,10,0,6,0,0,548,335,0,0,31,30,1280,0,7768,10480,20173,0,0,406,0,0,108,0,0,0,0,2906,0,0
"2014/5/21",0,0,0,0,13,0,353,0,374,76,16,3,0,0,143,7,14,5,478,0,34,0,40,2,13,0,0,61,0,0,11968,482,571,8,0,0,206,0,0,1913,21,0,0,0,0,0,0,0,0,0,0,644,0,31,3,0,9,0,0,0,0,203,0,0,0,21,12,0,4,0,0,739,0,61,454,0,0,0,0,0,0,0,0,0,43,0,0,0,0,2351,0,0,0,0,0,0,0,462,0,28,85,0,40,0,56,0,0,814,283,0,0,80,58,1415,0,6594,6861,19257,0,0,120,0,0,473,4,0,0,0,4958,0,0
"2014/5/22",0,0,0,0,2,0,140,0,147,51,7,0,0,0,80,1,4,5,65,0,16,0,26,2,65,0,0,13,0,0,6209,185,310,0,0,0,8,0,0,442,16,0,0,0,0,4,0,0,7,0,0,158,0,0,0,0,90,3,0,0,0,71,0,0,0,182,53,0,44,0,0,293,0,82,73,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2187,0,0,0,0,0,0,0,94,0,2,0,0,8,0,10,0,0,643,144,0,0,7,3,1013,19,4818,7402,29818,0,0,85,0,0,260,17,0,0,0,2598,0,0
"2014/5/23",0,0,0,0,11,0,227,0,328,41,12,6,0,0,110,7,0,8,417,0,32,0,39,3,6,0,0,46,0,0,9318,415,461,6,0,0,171,0,0,1460,21,0,0,0,0,0,0,0,3,0,0,521,0,26,0,0,7,0,0,0,0,141,0,0,0,10,2,0,8,0,0,556,0,40,373,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1808,0,0,0,0,0,0,0,395,0,20,47,0,32,0,33,0,0,635,218,0,0,70,47,1042,0,5459,5663,14454,0,0,127,0,0,465,0,0,0,0,3719,0,0
"2014/5/26",0,0,0,0,9,0,214,0,315,47,23,5,0,0,96,4,4,2,336,0,24,0,37,2,6,0,0,51,0,0,8061,308,415,5,0,0,178,0,0,1251,14,0,0,0,0,4,0,0,3,0,0,443,0,30,0,0,5,0,0,0,0,57,0,0,0,9,2,0,2,0,0,493,0,34,336,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1683,0,0,0,0,0,0,0,399,0,23,39,0,32,0,26,0,0,643,192,0,0,82,37,946,0,4926,4949,12973,0,0,86,0,0,351,0,0,0,0,3297,0,0
"2014/5/27",0,0,0,0,0,0,131,0,145,56,2,0,0,0,73,10,2,4,32,0,6,0,16,4,77,0,0,12,0,0,5557,175,305,0,0,0,13,0,0,361,2,0,0,0,0,4,0,0,7,0,0,123,0,0,0,0,55,2,0,0,0,29,0,0,0,118,31,0,8,0,0,267,0,61,64,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1691,0,0,0,0,0,0,0,105,0,7,0,0,25,0,9,0,0,726,164,0,0,16,0,1089,14,3778,7550,27529,0,0,56,0,0,133,13,0,0,0,2397,0,0
"2014/5/28",0,0,3,0,80,6,8,0,0,59,0,0,0,0,2,14,14,444,1609,4,98,0,13,108,179,0,0,0,6,0,13367,407,0,14,0,1051,8,0,0,1328,74,0,0,32,0,0,0,0,64,0,0,53,0,0,15,14,27,6,0,0,0,380,7,5,0,55,425,11,7,14,5,12,0,12,86,25,0,0,0,2,0,0,0,0,0,0,0,0,335,909,15,3,0,0,0,9,0,79,5,21,30,6,38,0,24,5,0,275,126,0,0,9,2,886,0,6289,2282,22238,0,0,106,0,0,7,0,15,0,5,436,18,0
"2014/5/29",2,0,2,0,106,4,11,0,0,59,0,0,0,0,2,21,13,527,1588,10,99,0,20,111,217,0,0,4,13,0,16492,530,0,36,0,1432,20,7,0,1923,147,0,0,50,0,0,0,0,73,0,0,99,6,0,8,23,26,8,0,0,0,339,2,0,0,38,500,18,18,11,7,10,0,26,144,39,0,0,0,0,0,0,0,2,0,0,0,0,620,1154,18,0,0,0,0,35,0,109,13,40,53,3,69,0,37,2,0,356,182,3,0,24,6,1356,0,8164,2885,25905,0,0,128,0,0,4,0,25,6,0,690,21,0
"2014/5/30",3,0,0,0,128,0,13,0,0,50,0,0,0,0,3,12,14,589,1820,8,91,0,14,109,217,0,1,2,6,0,14959,501,0,27,0,1311,6,0,0,1692,134,0,0,55,0,0,0,0,70,0,0,96,2,2,14,13,35,6,0,0,0,356,5,3,0,51,483,15,15,20,9,10,0,10,126,23,0,0,0,0,0,0,0,0,0,0,0,0,541,1137,28,2,0,0,0,34,0,159,5,35,40,7,54,0,35,6,0,362,177,3,0,12,7,1211,0,7989,3325,26185,0,0,132,0,0,5,0,26,4,4,715,22,0
